Questions,Answers
How do I use the GPS function?,"The GPS function is activated when you enter an outdoor exercise mode (outdoor running, outdoor walking, or outdoor cycling). After entering an outdoor exercise mode, please wait for the GPS to locate before starting your workout.The watch's built-in GPS chip will accurately record your workout track. After completing your workout, you can view your workout track in the app."
How do I change the watch face on my Watch Pro?,"1. Change on the Watch Pro: To change watch faces on your Watch Pro, press and hold anywhere on the screen for 3 sec. This will open the watch face change selection interface. Swipe left or right and tap the desired watch face to select it. 2. Change in the CMF Watch app: (1) In the My tab of the Watch Face marketplace, tap on a watch face to view its details. Tap Change Watch Face to change the watch face on your Watch Pro. (2) In the Recommended tab of the Watch Face marketplace, tap on a watch face to view its details. Tap Download to download the watch face to your Watch Pro. Once the watch face is downloaded, it will be displayed on your Watch Pro."
How do I customize the watch face?,"Once you have paired your Watch Pro with the CMF Watch app, you can access the Watch Face marketplace in the app. In the My tab, select Customize Watch Face. Choose a background and style for your watch face, then download it. Your watch will now display the customized watch face."
How do I get the User Guide?,"1. Click the button to open the function list. Select Settings, and enter the User Guide. Scan the code with your phone to get User Guide information. 2. In the main watch dial interface, swipe down to display the shortcut menu. Select Settings, and enter the User Guide. Scan the code with your phone to get User Guide information. 3. Go to the official website support page to find it."
How do I sync phone call notifications?,"Pair your Watch Pro with the CMF Watch app. In the app Device page, tap Phone Call Notifications, and turn the switch to on."
How can I find my Watch Pro?,"Pair your Watch Pro with the CMF Watch app. In the app Device page, tap Find Device. Your Watch Pro will ring to let you know where it is."
How do I set up health monitoring?,"Pair your Watch Pro with the CMF Watch app. In the app Device page, tap to enter Health Monitoring. 1. Turn on the Continuous Heart Rate Monitoring switch. You can set the following: (1) Set a reminder for high heart rate in a resting state. You can also turn off this reminder. (2) Set a reminder for a low heart rate in a resting state. You can also turn off this reminder. (3) Set a reminder for a high heart rate during activity. You can also turn off this reminder. 2. Turn on the Continuous Blood Oxygen Monitoring switch. (1) Set a reminder for low blood oxygen. You can also turn off this reminder. 3. Turn on the Continuous Stress Monitoring switch. When you wear the Watch Pro, it will automatically measure and record your stress level every 30 minutes."
How do I add phone contacts to my Watch Pro?,"Pair your Watch Pro with the CMF Watch app. In the app Device page, tap the Regular Contacts function. 1. On Android: Tap Add in the Regular Contacts function interface to open your phone's contact list. Select contacts to add to the app. The app will automatically sync the contacts to your Watch Pro. 2. On iOS:Tap Add in the Regular Contacts function interface to open a contact creation or editing window. Manually add contact information and save. The app will automatically sync the contacts to your Watch Pro."
How do I set the Do Not Disturb mode?,"1. In the main watch dial interface, swipe down to display the shortcut menu. Click to enable Do Not Disturb mode. 2. Press the button to open the function list. Select Settings, and enter to select the Do Not Disturb mode. (1) Full Do Not Disturb:When you turn on full Do Not Disturb, the Watch Pro will not have any notifications. (2) Scheduled Do Not Disturb:When you turn on scheduled Do Not Disturb, the Watch Pro will not have any notifications during the set time."
How do I set a reminder to drink water?,"Open the CMF Watch app and go to the device page. Tap Reminder to Drink Water, and turn the switch to on. Select the reminder interval. When the set time is reached, the Watch Pro will vibrate to remind you."
How do I set an inactivity reminder?,"Open the CMF Watch app and go to the device page. Tap Inactivity Reminder, and turn the switch to on. Select the reminder interval. When the set time is reached, the Watch Pro will vibrate to remind you."
