Questions,Answers
What can I do if my Watch Pro's data cannot be synced to the iOS device I am using it with?,"1. Make sure that your Watch Pro is connected to the CMF Watch app and to Bluetooth. 2. If the above instructions cannot resolve your issue, press the button on the Watch Pro to enter Settings--System Menu, then click Restart. Or, press and hold the button, then click Restart and check again. 3. Upgrade the CMF Watch app to the latest version in the Google Play store or App Store to check if this resolves the issue. 4. To experience the latest firmware features, you can upgrade the firmware to the latest version in the CMF Watch app. To do this, open the CMF Watch app, go to the Device page, and click Device Upgrade. 5. If the above steps do not resolve the issue, press the button on Watch Pro to enter Settings--System Menu. Click Reset. Then, check again to see if the issue is resolved."
Why is my Watch Pro not accurately tracking distance/calories during outdoor workouts?,"In outdoor exercise mode, the distance information is affected by GPS positioning information, and the calories burned are calculated based on the distance traveled.If the area you are exercising in is not open enough, for example, you go through an underground passage or pass by buildings, the GPS signal will be lost, causing statistical bias in your data. At the same time, if you do not stop or pause the exercise on your Watch Pro when you finish your workout, and you proceed to take public transportation, this will also cause a certain amount of error in your data."
What can I do if my Watch Pro does not accurately track distance or speed during outdoor exercise?,"1. 1. Please wear the Watch Pro correctly. 2. The distance/speed is calculated using the Gsensor algorithm, which allows for a certain amount of error. To ensure the accuracy of measurements, please wear the Watch Pro at least one or two fingers' distance from your wrist joint. Wear the strap loose enough for comfort, but tighten it for more accurate measurements during exercise. 3. If the above instructions do not solve the issue, press the button on the Watch Pro to enter Settings--System Menu, then click Restart. Or, press and hold the button, then click Restart and check again. 4. To experience the latest firmware features, you can upgrade the firmware to the latest version in the CMF Watch app. To do this, open the CMF Watch app, go to the Device page, and click Device Upgrade. 5. If the above steps do not resolve the issue, press the button on Watch Pro to enter Settings--System Menu. Click Reset. Then, check again to see if the issue is resolved."
What can I do if my Watch Pro's exercise data won't reset?,"1. The Watch Pro's exercise data is automatically cleared at 00:00 every day. The data will start counting again the next day. 2. If you want to manually clear the data, you can do so by resetting the Watch Pro to factory settings. As this operation may put your data at risk, we do not recommend it. 3. If the data does not reset, press the button on the Watch Pro to enter Settings--System Menu, then click Restart. Or, press and hold the button, then click Restart and check again. 4. To experience the latest firmware features, you can upgrade the firmware to the latest version in the CMF Watch app. To do this, open the CMF Watch app, go to the Device page, and click Device Upgrade. 5. If the above steps do not resolve the issue, press the button on Watch Pro to enter Settings--System Menu. Click Reset. Then, check again to see if the issue is resolved."
What can I do if my Watch Pro's blood oxygen measurement is inaccurate or does not display?,"1. Please wear the Watch Pro correctly. 2. To ensure accurate blood oxygen readings, please remain stationary during the measurement. If you are moving or swinging your arm around during the measurement, the Watch Pro's readings may be inaccurate, or it may not be able to measure any data at all. 3. When you start measuring, check if the indicator light on the case back of the Watch Pro is flashing. If it is not flashing, press the button on the Watch Pro to enter Settings--System Menu, then click Restart. Or, long press the button, then click Restart, and check again. 4. To experience the latest firmware features, you can upgrade the firmware to the latest version in the CMF Watch app. To do this, open the CMF Watch app, go to the Device page, and click Device Upgrade. 5. If the above steps do not resolve the issue, press the button on Watch Pro to enter Settings--System Menu. Click Reset. Then, check again to see if the issue is resolved."
What can I do if my Watch Pro's heart rate measurement is inaccurate or does not display?,"1. Please wear the Watch Pro correctly. 2. When measuring your heart rate, check if the indicator light on the case back of the Watch Pro is flashing. If it is not flashing, press the button on the Watch Pro to enter Settings--System Menu, then click Restart. Or, long press the button, then click Restart, and check again. 3. To experience the latest firmware features, you can upgrade the firmware to the latest version in the CMF Watch app. To do this, open the CMF Watch app, go to the Device page, and click Device Upgrade. 4. If the above steps do not resolve the issue, press the button on Watch Pro to enter Settings--System Menu. Click Reset. Then, check again to see if the issue is resolved. Note: Overstretching of muscles can also lead to inaccurate heart rate data.Therefore, there is a low probability of inaccurate heart rate readings when performing arm strength training.This is a common issue with all heart rate sensors. It is not a product quality issue, so you can use the Watch Pro with confidence."
What can I do if my Watch Pro's sleep data monitoring is inaccurate?,"1. The Watch Pro uses Gsensor to determine if the wearer is in a low activity state, which is used to identify if the user is asleep. It cannot guarantee 100% accuracy from a physiological perspective, which is normal. 2. If you find that the sleep data is not accurate when you have actually been sleeping, upgrade the firmware to the latest version in the CMF Watch app. To do this, open the CMF Watch app, go to the Device page, and click Device Upgrade to experience the latest firmware features. 3. If the above steps do not resolve the issue, press the button on Watch Pro to enter Settings--System Menu. Click Reset. Then, check again to see if the issue is resolved. Tips: The Watch Pro must be worn correctly to ensure accurate data detection."
What can I do when my Watch Pro takes a long time to sync sleep data?,"1. Make sure that the Watch Pro is connected to the app and to Bluetooth. 2. Open the CMF Watch app and swipe down on the home page to sync the data. 3. If this does not solve the issue, press the button on the Watch Pro to enter Settings--System Menu, then click Restart. Or, press and hold the button, then click Restart and check again. 4. To experience the latest firmware features, you can upgrade the firmware to the latest version in the CMF Watch app. To do this, open the CMF Watch app, go to the Device page, and click Device Upgrade. 5. Upgrade the CMF Watch app to the latest version in the Google Play store or App Store to check if this resolves the issue. 6. If the above steps do not resolve the issue, press the button on Watch Pro to enter Settings--System Menu. Click Reset. Then, check again to see if the issue is resolved."
What can I do if my Watch Pro's stress measurement is inaccurate or does not display?,"1. Please wear the Watch Pro correctly. During stress measurement, you need to keep still. Shaking your arm will affect measurement accuracy. 2. The Watch Pro uses an algorithm to calculate stress, and it allows for a certain range of error, which is normal. 3. When you start the measurement, make sure the indicator light on the case back of the Watch Pro is flashing. If it is not flashing, it is recommended that you press the button on the Watch Pro to enter Settings--System Menu, then click Restart. Or, long press the button, then click Restart, and then use it again to check. 4. To experience the latest firmware features, you can upgrade the firmware to the latest version in the CMF Watch app. To do this, open the CMF Watch app, go to the Device page, and click Device Upgrade. 5. If the above steps do not resolve the issue, press the button on Watch Pro to enter Settings--System Menu. Click Reset. Then, check again to see if the issue is resolved."
What can I do if my Watch Pro cannot measure my heart rate?,"1. Please wear the Watch Pro correctly. 2. Turn on heart rate measurement, and check if the indicator light on the case back of the Watch Pro is flashing. If it is not flashing, we recommend that you press the button on the Watch Pro to enter Settings--System Menu, then click Restart. Or, long press the button, then click Restart, and use it again to check. 3. To experience the latest firmware features, you can upgrade the firmware to the latest version in the CMF Watch app. To do this, open the CMF Watch app, go to the Device page, and click Device Upgrade. 4. If the above steps do not resolve the issue, press the button on Watch Pro to enter Settings--System Menu. Click Reset. Then, check again to see if the issue is resolved."
What can I do if my Watch Pro's step count is inaccurate?,"1. Please wear the Watch Pro correctly. 2. The step counter uses a Gsensor algorithm to calculate steps, and it allows for a certain range of error, which is normal. 3. If the error is significant, it is recommended that you press the button on your Watch Pro to enter Settings--System Menu, then click Restart. Or, long press the button, then click Restart, and use it again to check. 4. To experience the latest firmware features, you can upgrade the firmware to the latest version in the CMF Watch app. To do this, open the CMF Watch app, go to the Device page, and click Device Upgrade. 5. If the above steps do not resolve the issue, press the button on Watch Pro to enter Settings--System Menu. Click Reset. Then, check again to see if the issue is resolved."
Why is my Watch Pro's heart rate graph intermittent and incomplete?,"1. Watch Pro only records heart rate data when it is on your wrist. When Watch Pro is not on your wrist, there will be gaps in the data, which is normal. 2. If Watch Pro is worn loosely or incorrectly, or if the heart rate detection sensor status is identified as ""not worn,"" there will be gaps in the heart rate data. 3. If this does not solve the issue, press the button on the Watch Pro to enter Settings--System Menu, then click Restart. Or, press and hold the button, then click Restart and check again. 4. To experience the latest firmware features, you can upgrade the firmware to the latest version in the CMF Watch app. To do this, open the CMF Watch app, go to the Device page, and click Device Upgrade. 5. If the above steps do not resolve the issue, press the button on Watch Pro to enter Settings--System Menu. Click Reset. Then, check again to see if the issue is resolved. Ensure that the Watch Pro's case back is clean, dry, and free of debris before putting it on your wrist. Fit the monitoring unit snugly against your wrist.Do not stick protective film on the Watch Pro's case back, as this can interfere with the sensors and lead to inaccurate recording of or missing heart rate, blood oxygen, or sleep data."
Why is the heart rate graph on my watch Intermittent and Incomplete?,"1. Heart rate data is only recorded when the watch is being worn. It is normal to see gaps when the watch is not worn.
2. If the watch is worn loosely or incorrectly, the heart rate sensor may recognize it as not being worn, leading to missing heart rate data.
3. If the issue persists, press the Functional Crown on the watch to enter **Settings** > **System Menu** > tap **Restart** or long-press the crown and select **Restart** and check again.
4. In the CMF Watch app, go to the **Device** page and select **Device Upgrade** to update the firmware to the latest version for an improved experience.
5. If the above steps do not resolve the issue, press the Functional Crown on the watch to enter **Settings** > **System Menu** > tap **Reset** and check if the problem is resolved.

**Note**: Ensure that the back of the watch is clean, dry, and free of debris. The monitoring unit area should be in close contact with your wrist, maintaining a comfortable and snug fit. Do not apply any film to the back of the watch, as the sensors for detecting the human body may be obstructed, leading to inaccurate or incomplete readings of heart rate, blood oxygen, sleep, and other metrics."
Why is the heart rate graph on my watch Intermittent and Incomplete?,"1. Heart rate data is only recorded when the watch is being worn. It is normal to see gaps when the watch is not worn.
2. If the watch is worn loosely or incorrectly, the heart rate sensor may recognize it as not being worn, leading to missing heart rate data.
3. If the issue persists, press the Functional Crown on the watch to enter **Settings** > **System Menu** > tap **Restart** or long-press the crown and select **Restart** and check again.
4. Experience the firmware upgrade to the latest version on the Nothing X app>>Device page>>Device Update;
5. If the above steps do not resolve the issue, press the Functional Crown on the watch to enter **Settings** > **System Menu** > tap **Reset** and check if the problem is resolved.

**Note**: Ensure that the back of the watch is clean, dry, and free of debris. The monitoring unit area should be in close contact with your wrist, maintaining a comfortable and snug fit. Do not apply any film to the back of the watch, as the sensors for detecting the human body may be obstructed, leading to inaccurate or incomplete readings of heart rate, blood oxygen, sleep, and other metrics."
