Questions,Answers
How to track the status of the repair?,"Please click on this link and input the required information to track the status of the repair.

Note: Tracking the repair status are for those who applied online."
How to restore deleted photos or videos?,"Open the Photos app and navigate to Library on the bottom bar. Next, tap on ""Bin"" to see items deleted within the recent 60 days."
How do I upgrade the software system online?,"Go to Settings> System> System Update.

If there is a new version, we recommend you download the latest Nothing OS software version using WiFi. Don't press the power button or perform any actions during the upgrade process, and wait for the update to be completed.

If there is no new version, it means your phone has the latest version."
How do I use the Hotspot feature?,"Go to Settings> Network & Internet> Hotspot and Tethering> WiFi Hotspot.

Note: 
When you use your Hotspot, your phone consumes a lot of energy, resulting in power-consumption and heat problems. This is normal but use mindfully."
How do I delete a Google account in the system?,"Go to Settings > Passwords and accounts > Personal, select the account you want to delete, click to open a new page, and click Remove account to delete it"
How do I use the app pinning function?,"App pinnings allow you to keep the current app in view until you unpin it. 
When an app is pinned:
- Personal data may be accessible (such as contacts and email content).
- Pinned app may open other apps.
- If you want to securely share your device with someone, use a guest user instead.

To use app pinning:
1. Turn the app pinning on.
2. Open Overview.
3. Click on the app icon at the top of the screen, then click on Pin. 

How to unpin:
1. At the view of the pinned app, swipe up and hold to unpin."
How do I manage my message notifications?,"If you're getting too many notifications, manage your preferences as below: 
1. Turn off notifications in settings: go to Settings > Notifications > App settings, select the app whose that you want to manage notifications for.
2. Quickly turn off notifications from the notification bar: swipe down the status bar on the notification page, long-press the notification content and click on Turn off notification. On the new page, select the notifications you want to turn off and click Done to finish."
How to screen cast the Phone to my TV?,"1. To set up screen-casting, swipe down twice from the top of the screen to access the expanded quick settings. Press the edit (pencil) icon and drag the screen cast tile up from the hidden tiles. 
2. To begin the screen-cast (mirroring), swipe down to open the quick settings and find the newly added Screen recording tile. Click on it once and select the targeted device to cast to connect in the same local area network."
How do I hide message details on the locks creen?,Go to Settings > Lock screen > Privacy to choose notification preview options.
How do I know when a new software update is available?,"You'll receive a notification when a new software update becomes available. You can also manually check for updates by going to Settings > About phone > Software info. If there is a new update available, a red icon will appear next to the Nothing OS label."
How do I use the Find My Phone function if my phone is lost?,"If you lose your phone, you can find, lock or erase it. If you've added a Google account to your device, Find My Phone is automatically turned on. If you allow Find My Phone to encrypt your phone's most recent location and store it with Google, your device’s most recent location is available to the first account activated on the device.

To find a device, make sure you:
- are signed in with a Google account on your device.
- have the location opened.
- have Find My Phone turned on
- have power on and are connected to mobile data or WiFi.

You can still find its recent locations if your device turned off or not connected to mobile data or WiFi and enable 'Store recent locations.'

Important: if you find your device after you've erased data, you need your Google account password to use your device again. Learn about device protection.

1. On a browser, go to https://www.google.com/android/find/.
2. Sign in to your Google account.
   - If you have multiple devices, select the lost one at the top of the sidebar.
   - If your lost device has more than one user profile: sign in with a Google account that's on the main or personal profile. Learn about user profiles.
3.The lost device gets a notification.  
4.You'll get info about where the device is on the map.
   - The location is approximate and may not be accurate.
   - If your device can't be found, you may find its last known location if available.
5. If you get a prompt, tap Enable lock and erase.
6. Select what you want to do:
   - Play sound: rings your device at full volume for 5 minutes, even if it's set to silent or vibrate.
   - Secure device: locks your device with your PIN or password. If you don't have a lock, you can set one. To help someone return your device to you, you can add a message or device number to the lock screen.
   - Erase device: permanently deletes all data on your device, but may not delete SD cards. After you erase it, Find My Phone won't work on the device any longer."
How do I enable location services?,"Location services can be activated in Settings > Location. When this switch is enabled, apps that require location services will request permission to access your location data when you first open the app."
How do I change the language settings?,The language can be set on the first page of the setup page. It can also be changed in Settings > System > Languages and input.
How do I enable USB debugging?,"Go to Settings > About phone > Software info > Build number and click 7 times. After 'You are in developer mode' appears, turn on USB debugging in Settings > System > Developer Options >USB Debugging."
How do I uninstall an app?,"Please try the below:

1. Swipe into the home page to open the application center on the mobile phone, long-press the corresponding app and select Uninstall. Alternatively, long-press the corresponding app, click on App info and Uninstall.
2. Alternatively, go to Settings > Apps > See all apps. Click on the app you want to uninstall, and then select Uninstall.

Note: 
- Some built-in apps don't support uninstallation. 
- Uninstalling the app will clear the app data; back up your data before uninstalling."
How do I adjust the Glyph light for ringtones?,"1. Please go to Settings > Glyph Interface > Ringtones > Default ringtone. Preview the Glyph display and choose the different Glyph styles. 
2. Click the add icon in the upper left and add your customised ringtones.

Note: you can set notifications sounds similarly and choose from original Nothing and imported sounds."
How do I turn the Glyph light on/off?,"Please go to Settings > Glyph Interface and choose to enable / disable it. Alternatively, find the Glyph Settings in control center by swiping down the notification bar."
How do I download the latest firmware?,
How do I enable Dark Theme?,"There are two ways to do this:

1) Go to Settings > Display and enable the Dark Theme.
2) Swipe down from the top of the phone to access the notification status bar. Then swipe down again to go to the control centre, and slide to tap Dark Theme icon to enable it."
How do I hide notifications on the lock screen?,"Please go to Settings > Notifications > Notifications on lock screen, then select 'Don't show any notifications.'"
