links,Answers
What is the Bedtime Schedule under the Glyph Interface?,Bedtime Schedule lets you temporarily disable the Glyph Interface at set times and days to ensure that you're not disturbed at night time.
What is the Find My Phone feature?,"Find My Phone provides you with basic location services. After it is turned on, you can find the approximate location of your device and ring it. You must keep phone switched on, with the network turned on, and enable Find My Phone.

Tip:
If your lost phone is not turned on or Find My Phone is not enabled, you can contact the police for help as soon as possible. Freeze account information such as bank cards and Google Pay immediately to avoid more property losses."
Will replacing the SIM card affect the Find My Phone feature?,"No, as long as the phone is turned on and the network is normal, you can log in to any computer to use the Find My Phone feature."
What do I do if I've lost my phone?,"If your phone is lost, we suggest you call the police for help as soon as possible.

You can also use the Nothing Find My Device function. To enable it, go to Settings>Security>Find My Device. 

Requirements:
1. If you lose your phone, you need to log in to your Google account and enable the Find My Phone function.
2. The lost mobile phone is turned on.
3. The lost mobile phone is using data network or wireless network."
What is Bluetooth tethering and how do I use it?,"Bluetooth tethering is a method of sharing your phone's internet connection through Bluetooth. 

To use it:
1. Go to Settings> Network & Internet> Hotspot & Tethering, and toggle on Bluetooth Tethering.
2. Enable Bluetooth for the other device, pair the device, and connect your phone to the WiFi with network access.
3. On your device, go to Settings> Bluetooth and tap the paired device.
4. Toggle on Internet access. 

Note: Tethering works when your phone is connected to the Internet via mobile data or a WiFi network."
What is the operating system?,Nothing OS with Android 14.
How long is the in-box charging cable?,The charging cable is about 1 meter.
What is the Flip to Glyph feature?,"For focus time, place the side with the Glyph Interface face up on a flat surface to trigger silent mode and Glyph Light-only alerts for notifications and incoming calls. When Flip to Glyph is activated, the Glyph Interface briefly pulse with light."
What is the Glyph Interface?,"The Glyph Interface is designed with Glyph light strips on the back of the phone to provide users with a new way of communicating and interacting. All preset Nothing ringtones and notification sound effects have their special design Glyph patterns. In the new message notification, the Glyph Interface will follow the default pattern to light up the corresponding position. At the same time, it triggers sound and vibration effects.

Note: the Glyph Interface may not be safe for individuals with epilepsy or other light-sensitive conditions."
What is data roaming?,"Data roaming refers to the use of data services through a network that doesn't belong to the user's home region – such as browsing the internet, watching videos or sending emails on a phone while abroad. As data traffic is conducted over a foreign network, the fees are typically higher; ensure you confirm the costs in advance with your home carrier. 

Note: to use data roaming, you need to enable the data-roaming feature beforehand (Settings > Network & internet > SIMs > Roaming)."
What is USB debugging?,USB debugging is a developer mode for the phone to communicate with the PC over a USB connection. It allows a device to receive commands and files from the PC and allows the PC to pull crucial information like log files from the Android device. The USB debugging mode is off by default.
Will my phone lose data when getting repaired?,We recommend you back up important data before sending your phone to the service center to prevent any potential loss of important information during the repair.
What is the status bar?,"The status bar is at the top of the phone display screen, where you can see different icons: time, battery percentage, etc.

Swipe down once from the very top of the screen to access quick access. Swipe down twice for the control centre. It will give you instant access to the data network, WiFi, airplane mode, hotspot, Bluetooth, etc."
What is OTG connection?,"USB OTG (USB On The Go) is a standard that enables mobile devices to talk to one another. Traditionally mobile devices could only connect to a Mac / PC by USB, but USB OTG makes it possible for devices to connect directly to each other. USB OTG can help you read the data from the U disk, charge the phone at a low current, etc."
What causes network connection failures during a call?,"1. Ensure you're not in a congested network area.
2. Try calling a different contact to see if the problem still occurs.
3. Try a different SIM card."
How does dual SIM work?,"- Dual cards can support two SIM cards at the same time, e.g. SIM cards of two same or DIFF operators.
- Dual SIM means that two phone numbers can be used in a phone at the same time.
- Dual SIM Dual Standby means that the two phone numbers can be in Standby Mode at the same time, but cannot perform Call or Data Access at the same time."
How often should I shut down and restart my phone?,We recommend you manually restart your phone once a week. This helps the phone self-repair.
